--- Network Status Report: 2026-03-24 20:43:03 ---
IP: 10.4.4.160      | Host: jivesso.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.161      | Host: ssoadfsbe.osisoft.com          | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.162      | Host: ssotest.osisoft.com            | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.163      | Host: login.osisoft.com              | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.164      | Host: dfwebapp.osisoft.com           | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.165      | Host: picspreview.osisoft.com        | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.166      | Host: myaccount.osisoft.com          | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.167      | Host: tslite.osisoft.com             | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.168      | Host: chronos.osisoft.int            | Ping: UP   | HTTP: DOWN | HTTPS: UP  
IP: 10.4.4.169      | Host: mailr.osisoft.int              | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.170      | Host: wwwtest.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.172      | Host: testmyaccount.osisoft.com      | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.173      | Host: licenseviewer.osisoft.int      | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: community.osisoft.com          | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: signin.osisoft.com             | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: support.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: vcampus.osisoft.com            | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: ringcentral.osisoft.com        | Ping: UP   | HTTP: UP   | HTTPS: DOWN
IP: 10.4.4.174      | Host: incontact.osisoft.com          | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: mimeo.osisoft.com              | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: myworkday.osisoft.com          | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: explore.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: testwww.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: training.osisoft.com           | Ping: UP   | HTTP: UP   | HTTPS: DOWN
IP: 10.4.4.174      | Host: quarantine.osisoft.com         | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: fmi.osisoft.com                | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: concurtest.osisoft.com         | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: concur.osisoft.com             | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: springcm.osisoft.com           | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: search.osisoft.com             | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: duoadmin.osisoft.com           | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: pluralsight.osisoft.com        | Ping: UP   | HTTP: UP   | HTTPS: UP  
IP: 10.4.4.174      | Host: survey.learning.osisoft.com    | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.174      | Host: boomi.osisoft.com              | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.175      | Host: osiroleservice.osisoft.com     | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.176      | Host: webmail.osisoft.com            | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.176      | Host: ars.aveva.com                  | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.177      | Host: my.osisoft.com                 | Ping: UP   | HTTP: UP   | HTTPS: DOWN
IP: 10.4.4.178      | Host: sso-admin.osisoft.com          | Ping: UP   | HTTP: UP   | HTTPS: DOWN
IP: 10.4.4.179      | Host: sso-admintest.osisoft.com      | Ping: UP   | HTTP: UP   | HTTPS: DOWN
IP: 10.4.4.180      | Host: ssoprofiler.osisoft.ext        | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
IP: 10.4.4.181      | Host: sso-userstore.osisoft.ext      | Ping: UP   | HTTP: DOWN | HTTPS: DOWN
